danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,time_signature,id,uri
0.198,0.00305,8,-36.825,1,0.0441,0.962,0.941,0.112,0.0385,69.65,audio_features,3,0kQs60Eec9PnDAwvyS3iN1,spotify:track:0kQs60Eec9PnDAwvyS3iN1
0.151,0.0131,0,-37.799,0,0.0402,0.943,0.694,0.1,0.076,136.246,audio_features,4,6HreYBZASx5JJR82jvZCNs,spotify:track:6HreYBZASx5JJR82jvZCNs
0.134,0.00449,5,-35.249,1,0.0419,0.994,0.933,0.0935,0.04,72.367,audio_features,4,3qNtyx6HFRRFsj4wF5vslr,spotify:track:3qNtyx6HFRRFsj4wF5vslr
0.0703,0.0635,9,-31.522,1,0.0443,0.903,0.844,0.0956,0.0706,75.97,audio_features,4,6Vwch7baK3sLDpAjbcL0wK,spotify:track:6Vwch7baK3sLDpAjbcL0wK
0.19,0.00181,3,-37.508,1,0.04,0.98,0.93,0.111,0.16,67.495,audio_features,5,6hF7PFj60NCD6BtoRqyWZY,spotify:track:6hF7PFj60NCD6BtoRqyWZY
0.0672,0.00574,1,-35.249,1,0.0467,0.991,0.758,0.116,0.041,31.27,audio_features,3,166sXNEu8LOKQeMmqWo7SA,spotify:track:166sXNEu8LOKQeMmqWo7SA
0.0689,0.00408,3,-39.482,1,0.042,0.992,0.833,0.0923,0.139,71.775,audio_features,3,3NUwa9esOC8gpVzWVV9xW4,spotify:track:3NUwa9esOC8gpVzWVV9xW4
0.187,0.00337,2,-37.714,1,0.0453,0.995,0.838,0.107,0.163,70.378,audio_features,4,7ioQve0LIq1qfNp3rkvj4N,spotify:track:7ioQve0LIq1qfNp3rkvj4N
0.0697,0.00224,9,-39.72,0,0.0421,0.951,0.912,0.0952,0.0686,73.871,audio_features,3,61Iykx3EETKUhv43tdveAe,spotify:track:61Iykx3EETKUhv43tdveAe
0.0836,0.00358,9,-37.948,1,0.0394,0.979,0.865,0.122,0.0386,83.879,audio_features,3,73E1cWwhV9iyIfiyyH26Mn,spotify:track:73E1cWwhV9iyIfiyyH26Mn
0.0722,0.0051,10,-39.234,0,0.0418,0.995,0.796,0.0959,0.0815,72.338,audio_features,3,3pUQApLLT0iAnxGbe1IC8q,spotify:track:3pUQApLLT0iAnxGbe1IC8q
0.188,0.00346,2,-36.653,1,0.0446,0.991,0.902,0.109,0.148,67.959,audio_features,4,6gW7wl7Dbzvv4Az3RbolkD,spotify:track:6gW7wl7Dbzvv4Az3RbolkD
0.161,0.00481,8,-36.083,1,0.0425,0.928,0.924,0.124,0.0696,131.723,audio_features,1,683qBY5WPSLBPfgDioGVmS,spotify:track:683qBY5WPSLBPfgDioGVmS
